bin,count
0.0,0
0.1,0
0.2,0
0.3,0
0.4,1
0.5,6
0.6,56
0.7,289
0.8,775
0.9,1128
1.0,1438
1.1,1645
1.2,1814
1.3,1993
1.4,1885
1.5,1789
1.6,1951
1.7,2592
1.8,13910
1.9,18816
2.0,2506
2.1,24190
2.2,90258
2.3,139457
2.4,75177
2.5,118286
2.6,160334
2.7,127127
2.8,43523
2.9,50615
3.0,117023
3.1,142623
3.2,25268
3.3,2386
3.4,2189
3.5,605
3.6,143
3.7,87
3.8,169
3.9,5302
4.0,418
4.1,48
4.2,41
4.3,47
4.4,36
4.5,35
4.6,18
4.7,26
4.8,37
4.9,70
5.0,333
5.1,5221
5.2,5744
5.3,545
5.4,26
5.5,18
5.6,22
5.7,24
5.8,14
5.9,10
